,Unnamed: 0,Unnamed: 0.1,vehicle_id,vehicle_type,nr_of_stops,stopping_station_ids
0,0,0,EUR9148,EUR,3,"['007015400', '008722326', '008814001']"
1,1,1,IC1504,IC,15,"['008891009', '008891140', '008892007', '008814001', '008813003', '008812005', '008833001', '008833308', '008833605', '008831807', '008831039', '008831005', '008832375', '008831781', '008831765']"
2,2,2,IC1505,IC,16,"['008891405', '008891009', '008891140', '008892007', '008814001', '008813003', '008812005', '008833001', '008833308', '008833605', '008831807', '008831039', '008831005', '008832375', '008831781', '008831765']"
3,3,3,IC1506,IC,16,"['008891405', '008891009', '008891140', '008892007', '008814001', '008813003', '008812005', '008833001', '008833308', '008833605', '008831807', '008831039', '008831005', '008832375', '008831781', '008831765']"
4,4,4,IC1507,IC,16,"['008891405', '008891009', '008891140', '008892007', '008814001', '008813003', '008812005', '008833001', '008833308', '008833605', '008831807', '008831039', '008831005', '008832375', '008831781', '008831765']"
5,5,5,IC1508,IC,16,"['008891405', '008891009', '008891140', '008892007', '008814001', '008813003', '008812005', '008833001', '008833308', '008833605', '008831807', '008831039', '008831005', '008832375', '008831781', '008831765']"
6,6,6,IC1509,IC,16,"['008891405', '008891009', '008891140', '008892007', '008814001', '008813003', '008812005', '008833001', '008833308', '008833605', '008831807', '008831039', '008831005', '008832375', '008831781', '008831765']"
7,7,7,IC1510,IC,16,"['008891405', '008891009', '008891140', '008892007', '008814001', '008813003', '008812005', '008833001', '008833308', '008833605', '008831807', '008831039', '008831005', '008832375', '008831781', '008831765']"
8,8,8,IC1511,IC,13,"['008891405', '008891009', '008891140', '008892007', '008814001', '008813003', '008812005', '008833001', '008833308', '008833605', '008831807', '008831039', '008831005']"
9,9,9,IC1512,IC,16,"['008891405', '008891009', '008891140', '008892007', '008814001', '008813003', '008812005', '008833001', '008833308', '008833605', '008831807', '008831039', '008831005', '008832375', '008831781', '008831765']"
10,10,10,IC1513,IC,16,"['008891405', '008891009', '008891140', '008892007', '008814001', '008813003', '008812005', '008833001', '008833308', '008833605', '008831807', '008831039', '008831005', '008832375', '008831781', '008831765']"
11,11,11,IC1514,IC,16,"['008891405', '008891009', '008891140', '008892007', '008814001', '008813003', '008812005', '008833001', '008833308', '008833605', '008831807', '008831039', '008831005', '008832375', '008831781', '008831765']"
12,12,12,IC1515,IC,16,"['008891405', '008891009', '008891140', '008892007', '008814001', '008813003', '008812005', '008833001', '008833308', '008833605', '008831807', '008831039', '008831005', '008832375', '008831781', '008831765']"
13,13,13,IC1516,IC,16,"['008891405', '008891009', '008891140', '008892007', '008814001', '008813003', '008812005', '008833001', '008833308', '008833605', '008831807', '008831039', '008831005', '008832375', '008831781', '008831765']"
14,14,14,IC1517,IC,16,"['008891405', '008891009', '008891140', '008892007', '008814001', '008813003', '008812005', '008833001', '008833308', '008833605', '008831807', '008831039', '008831005', '008832375', '008831781', '008831765']"
15,15,15,IC1518,IC,16,"['008891405', '008891009', '008891140', '008892007', '008814001', '008813003', '008812005', '008833001', '008833308', '008833605', '008831807', '008831039', '008831005', '008832375', '008831781', '008831765']"
16,16,16,IC1519,IC,16,"['008891405', '008891009', '008891140', '008892007', '008814001', '008813003', '008812005', '008833001', '008833308', '008833605', '008831807', '008831039', '008831005', '008832375', '008831781', '008831765']"
17,17,17,IC1527,IC,13,"['008831005', '008831039', '008831807', '008833605', '008833308', '008833001', '008812005', '008813003', '008814001', '008892007', '008891140', '008891009', '008891405']"
18,18,18,IC1528,IC,16,"['008831765', '008831781', '008832375', '008831005', '008831039', '008831807', '008833605', '008833308', '008833001', '008812005', '008813003', '008814001', '008892007', '008891140', '008891009', '008891405']"
19,19,19,IC1529,IC,16,"['008831765', '008831781', '008832375', '008831005', '008831039', '008831807', '008833605', '008833308', '008833001', '008812005', '008813003', '008814001', '008892007', '008891140', '008891009', '008891405']"
20,20,20,IC1530,IC,16,"['008831765', '008831781', '008832375', '008831005', '008831039', '008831807', '008833605', '008833308', '008833001', '008812005', '008813003', '008814001', '008892007', '008891140', '008891009', '008891405']"
21,21,21,IC1531,IC,16,"['008831765', '008831781', '008832375', '008831005', '008831039', '008831807', '008833605', '008833308', '008833001', '008812005', '008813003', '008814001', '008892007', '008891140', '008891009', '008891405']"
22,22,22,IC1532,IC,16,"['008831765', '008831781', '008832375', '008831005', '008831039', '008831807', '008833605', '008833308', '008833001', '008812005', '008813003', '008814001', '008892007', '008891140', '008891009', '008891405']"
23,23,23,IC1533,IC,17,"['008831765', '008831781', '008832375', '008831005', '008831039', '008831807', '008833605', '008833308', '008833001', '008811130', '008812005', '008813003', '008814001', '008892007', '008891140', '008891009', '008891405']"
24,24,24,IC1534,IC,16,"['008831765', '008831781', '008832375', '008831005', '008831039', '008831807', '008833605', '008833308', '008833001', '008812005', '008813003', '008814001', '008892007', '008891140', '008891009', '008891405']"
25,25,25,IC1535,IC,16,"['008831765', '008831781', '008832375', '008831005', '008831039', '008831807', '008833605', '008833308', '008833001', '008812005', '008813003', '008814001', '008892007', '008891140', '008891009', '008891405']"
26,26,26,IC1536,IC,16,"['008831765', '008831781', '008832375', '008831005', '008831039', '008831807', '008833605', '008833308', '008833001', '008812005', '008813003', '008814001', '008892007', '008891140', '008891009', '008891405']"
27,27,27,IC1537,IC,16,"['008831765', '008831781', '008832375', '008831005', '008831039', '008831807', '008833605', '008833308', '008833001', '008812005', '008813003', '008814001', '008892007', '008891140', '008891009', '008891405']"
28,28,28,IC1538,IC,16,"['008831765', '008831781', '008832375', '008831005', '008831039', '008831807', '008833605', '008833308', '008833001', '008812005', '008813003', '008814001', '008892007', '008891140', '008891009', '008891405']"
29,29,29,IC1539,IC,16,"['008831765', '008831781', '008832375', '008831005', '008831039', '008831807', '008833605', '008833308', '008833001', '008812005', '008813003', '008814001', '008892007', '008891140', '008891009', '008891405']"
30,30,30,IC1540,IC,16,"['008831765', '008831781', '008832375', '008831005', '008831039', '008831807', '008833605', '008833308', '008833001', '008812005', '008813003', '008814001', '008892007', '008891140', '008891009', '008891405']"
31,31,31,IC1541,IC,16,"['008831765', '008831781', '008832375', '008831005', '008831039', '008831807', '008833605', '008833308', '008833001', '008812005', '008813003', '008814001', '008892007', '008891140', '008891009', '008891405']"
32,32,32,IC1542,IC,16,"['008831765', '008831781', '008832375', '008831005', '008831039', '008831807', '008833605', '008833308', '008833001', '008812005', '008813003', '008814001', '008892007', '008891140', '008891009', '008891405']"
33,33,33,IC1543,IC,15,"['008831765', '008831781', '008832375', '008831005', '008831039', '008831807', '008833605', '008833308', '008833001', '008812005', '008813003', '008814001', '008892007', '008891140', '008891009']"
34,34,34,IC1544,IC,15,"['008831765', '008831781', '008832375', '008831005', '008831039', '008831807', '008833605', '008833308', '008833001', '008812005', '008813003', '008814001', '008892007', '008891140', '008891009']"
35,35,35,IC1607,IC,18,"['008891660', '008891652', '008891645', '008891009', '008891140', '008892007', '008814001', '008813003', '008812005', '008833001', '008833308', '008833605', '008831807', '008831039', '008831005', '008832375', '008831781', '008831765']"
36,36,36,IC1619,IC,18,"['008891660', '008891652', '008891645', '008891009', '008891140', '008892007', '008814001', '008813003', '008812005', '008833001', '008833308', '008833605', '008831807', '008831039', '008831005', '008832375', '008831781', '008831765']"
37,37,37,IC1632,IC,4,"['008891009', '008891645', '008891652', '008891660']"
38,38,38,IC1633,IC,19,"['008831765', '008831781', '008832375', '008831005', '008831039', '008831807', '008833605', '008833308', '008833001', '008811130', '008812005', '008813003', '008814001', '008892007', '008891140', '008891009', '008891645', '008891652', '008891660']"
39,39,39,IC1705,IC,21,"['008884335', '008884350', '008884327', '008884319', '008884004', '008884541', '008884566', '008881000', '008881166', '008883113', '008883006', '008814308', '008814001', '008813003', '008812005', '008833001', '008833308', '008833605', '008841400', '008841202', '008841004']"
40,40,40,IC1707,IC,21,"['008884335', '008884350', '008884327', '008884319', '008884004', '008884541', '008884566', '008881000', '008881166', '008883113', '008883006', '008814308', '008814001', '008813003', '008812005', '008833001', '008833308', '008833605', '008841400', '008841202', '008841004']"
41,41,41,IC1708,IC,21,"['008884335', '008884350', '008884327', '008884319', '008884004', '008884541', '008884566', '008881000', '008881166', '008883113', '008883006', '008814308', '008814001', '008813003', '008812005', '008833001', '008833308', '008833605', '008841400', '008841202', '008841004']"
42,42,42,IC1710,IC,21,"['008884335', '008884350', '008884327', '008884319', '008884004', '008884541', '008884566', '008881000', '008881166', '008883113', '008883006', '008814308', '008814001', '008813003', '008812005', '008833001', '008833308', '008833605', '008841400', '008841202', '008841004']"
43,43,43,IC1711,IC,21,"['008884335', '008884350', '008884327', '008884319', '008884004', '008884541', '008884566', '008881000', '008881166', '008883113', '008883006', '008814308', '008814001', '008813003', '008812005', '008833001', '008833308', '008833605', '008841400', '008841202', '008841004']"
44,44,44,IC1712,IC,21,"['008884335', '008884350', '008884327', '008884319', '008884004', '008884541', '008884566', '008881000', '008881166', '008883113', '008883006', '008814308', '008814001', '008813003', '008812005', '008833001', '008833308', '008833605', '008841400', '008841202', '008841004']"
45,45,45,IC1713,IC,21,"['008884335', '008884350', '008884327', '008884319', '008884004', '008884541', '008884566', '008881000', '008881166', '008883113', '008883006', '008814308', '008814001', '008813003', '008812005', '008833001', '008833308', '008833605', '008841400', '008841202', '008841004']"
46,46,46,IC1714,IC,21,"['008884335', '008884350', '008884327', '008884319', '008884004', '008884541', '008884566', '008881000', '008881166', '008883113', '008883006', '008814308', '008814001', '008813003', '008812005', '008833001', '008833308', '008833605', '008841400', '008841202', '008841004']"
47,47,47,IC1715,IC,21,"['008884335', '008884350', '008884327', '008884319', '008884004', '008884541', '008884566', '008881000', '008881166', '008883113', '008883006', '008814308', '008814001', '008813003', '008812005', '008833001', '008833308', '008833605', '008841400', '008841202', '008841004']"
48,48,48,IC1717,IC,21,"['008884335', '008884350', '008884327', '008884319', '008884004', '008884541', '008884566', '008881000', '008881166', '008883113', '008883006', '008814308', '008814001', '008813003', '008812005', '008833001', '008833308', '008833605', '008841400', '008841202', '008841004']"
49,49,49,IC1718,IC,21,"['008884335', '008884350', '008884327', '008884319', '008884004', '008884541', '008884566', '008881000', '008881166', '008883113', '008883006', '008814308', '008814001', '008813003', '008812005', '008833001', '008833308', '008833605', '008841400', '008841202', '008841004']"
50,50,50,IC1719,IC,21,"['008884335', '008884350', '008884327', '008884319', '008884004', '008884541', '008884566', '008881000', '008881166', '008883113', '008883006', '008814308', '008814001', '008813003', '008812005', '008833001', '008833308', '008833605', '008841400', '008841202', '008841004']"
51,51,51,IC1720,IC,21,"['008884335', '008884350', '008884327', '008884319', '008884004', '008884541', '008884566', '008881000', '008881166', '008883113', '008883006', '008814308', '008814001', '008813003', '008812005', '008833001', '008833308', '008833605', '008841400', '008841202', '008841004']"
52,52,52,IC1728,IC,21,"['008841004', '008841202', '008841400', '008833605', '008833308', '008833001', '008812005', '008813003', '008814001', '008814308', '008883006', '008883113', '008881166', '008881000', '008884566', '008884541', '008884004', '008884319', '008884327', '008884350', '008884335']"
53,53,53,IC1729,IC,21,"['008841004', '008841202', '008841400', '008833605', '008833308', '008833001', '008812005', '008813003', '008814001', '008814308', '008883006', '008883113', '008881166', '008881000', '008884566', '008884541', '008884004', '008884319', '008884327', '008884350', '008884335']"
54,54,54,IC1730,IC,21,"['008841004', '008841202', '008841400', '008833605', '008833308', '008833001', '008812005', '008813003', '008814001', '008814308', '008883006', '008883113', '008881166', '008881000', '008884566', '008884541', '008884004', '008884319', '008884327', '008884350', '008884335']"
55,55,55,IC1736,IC,21,"['008841004', '008841202', '008841400', '008833605', '008833308', '008833001', '008812005', '008813003', '008814001', '008814308', '008883006', '008883113', '008881166', '008881000', '008884566', '008884541', '008884004', '008884319', '008884327', '008884350', '008884335']"
56,56,56,IC1737,IC,21,"['008841004', '008841202', '008841400', '008833605', '008833308', '008833001', '008812005', '008813003', '008814001', '008814308', '008883006', '008883113', '008881166', '008881000', '008884566', '008884541', '008884004', '008884319', '008884327', '008884350', '008884335']"
57,57,57,IC1738,IC,21,"['008841004', '008841202', '008841400', '008833605', '008833308', '008833001', '008812005', '008813003', '008814001', '008814308', '008883006', '008883113', '008881166', '008881000', '008884566', '008884541', '008884004', '008884319', '008884327', '008884350', '008884335']"
58,58,58,IC1739,IC,21,"['008841004', '008841202', '008841400', '008833605', '008833308', '008833001', '008812005', '008813003', '008814001', '008814308', '008883006', '008883113', '008881166', '008881000', '008884566', '008884541', '008884004', '008884319', '008884327', '008884350', '008884335']"
59,59,59,IC1740,IC,21,"['008841004', '008841202', '008841400', '008833605', '008833308', '008833001', '008812005', '008813003', '008814001', '008814308', '008883006', '008883113', '008881166', '008881000', '008884566', '008884541', '008884004', '008884319', '008884327', '008884350', '008884335']"
60,60,60,IC1805,IC,9,"['008892007', '008893120', '008894151', '008894201', '008894508', '008894748', '008821196', '008821121', '008821006']"
61,61,61,IC1806,IC,10,"['008891702', '008891009', '008892007', '008893120', '008894201', '008894508', '008894748', '008821196', '008821121', '008821006']"
62,62,62,IC1807,IC,10,"['008891702', '008891009', '008892007', '008893120', '008894201', '008894508', '008894748', '008821196', '008821121', '008821006']"
63,63,63,IC1808,IC,10,"['008891702', '008891009', '008892007', '008893120', '008894201', '008894508', '008894748', '008821196', '008821121', '008821006']"
64,64,64,IC1809,IC,10,"['008891702', '008891009', '008892007', '008893120', '008894201', '008894508', '008894748', '008821196', '008821121', '008821006']"
65,65,65,IC1810,IC,10,"['008891702', '008891009', '008892007', '008893120', '008894201', '008894508', '008894748', '008821196', '008821121', '008821006']"
66,66,66,IC1811,IC,10,"['008891702', '008891009', '008892007', '008893120', '008894201', '008894508', '008894748', '008821196', '008821121', '008821006']"
67,67,67,IC1812,IC,10,"['008891702', '008891009', '008892007', '008893120', '008894201', '008894508', '008894748', '008821196', '008821121', '008821006']"
68,68,68,IC1813,IC,10,"['008891702', '008891009', '008892007', '008893120', '008894201', '008894508', '008894748', '008821196', '008821121', '008821006']"
69,69,69,IC1814,IC,10,"['008891702', '008891009', '008892007', '008893120', '008894201', '008894508', '008894748', '008821196', '008821121', '008821006']"
70,70,70,IC1815,IC,10,"['008891702', '008891009', '008892007', '008893120', '008894201', '008894508', '008894748', '008821196', '008821121', '008821006']"
71,71,71,IC1816,IC,10,"['008891702', '008891009', '008892007', '008893120', '008894201', '008894508', '008894748', '008821196', '008821121', '008821006']"
72,72,72,IC1817,IC,10,"['008891702', '008891009', '008892007', '008893120', '008894201', '008894508', '008894748', '008821196', '008821121', '008821006']"
73,73,73,IC1818,IC,10,"['008891702', '008891009', '008892007', '008893120', '008894201', '008894508', '008894748', '008821196', '008821121', '008821006']"
74,74,74,IC1819,IC,10,"['008891702', '008891009', '008892007', '008893120', '008894201', '008894508', '008894748', '008821196', '008821121', '008821006']"
75,75,75,IC1826,IC,10,"['008821006', '008821121', '008821196', '008894748', '008894508', '008894201', '008893120', '008892007', '008891009', '008891702']"
76,76,76,IC1827,IC,10,"['008821006', '008821121', '008821196', '008894748', '008894508', '008894201', '008893120', '008892007', '008891009', '008891702']"
77,77,77,IC1828,IC,10,"['008821006', '008821121', '008821196', '008894748', '008894508', '008894201', '008893120', '008892007', '008891009', '008891702']"
78,78,78,IC1829,IC,10,"['008821006', '008821121', '008821196', '008894748', '008894508', '008894201', '008893120', '008892007', '008891009', '008891702']"
79,79,79,IC1830,IC,10,"['008821006', '008821121', '008821196', '008894748', '008894508', '008894201', '008893120', '008892007', '008891009', '008891702']"
80,80,80,IC1831,IC,10,"['008821006', '008821121', '008821196', '008894748', '008894508', '008894201', '008893120', '008892007', '008891009', '008891702']"
81,81,81,IC1832,IC,10,"['008821006', '008821121', '008821196', '008894748', '008894508', '008894201', '008893120', '008892007', '008891009', '008891702']"
82,82,82,IC1833,IC,10,"['008821006', '008821121', '008821196', '008894748', '008894508', '008894201', '008893120', '008892007', '008891009', '008891702']"
83,83,83,IC1834,IC,10,"['008821006', '008821121', '008821196', '008894748', '008894508', '008894201', '008893120', '008892007', '008891009', '008891702']"
84,84,84,IC1835,IC,10,"['008821006', '008821121', '008821196', '008894748', '008894508', '008894201', '008893120', '008892007', '008891009', '008891702']"
85,85,85,IC1836,IC,10,"['008821006', '008821121', '008821196', '008894748', '008894508', '008894201', '008893120', '008892007', '008891009', '008891702']"
86,86,86,IC1837,IC,10,"['008821006', '008821121', '008821196', '008894748', '008894508', '008894201', '008893120', '008892007', '008891009', '008891702']"
87,87,87,IC1838,IC,10,"['008821006', '008821121', '008821196', '008894748', '008894508', '008894201', '008893120', '008892007', '008891009', '008891702']"
88,88,88,IC1839,IC,10,"['008821006', '008821121', '008821196', '008894748', '008894508', '008894201', '008893120', '008892007', '008891009', '008891702']"
89,89,89,IC1840,IC,10,"['008821006', '008821121', '008821196', '008894748', '008894508', '008894201', '008893120', '008892007', '008891009', '008891702']"
90,90,90,IC1841,IC,10,"['008821006', '008821121', '008821196', '008894748', '008894508', '008894201', '008893120', '008892007', '008891009', '008891702']"
91,91,91,IC1842,IC,10,"['008821006', '008821121', '008821196', '008894748', '008894508', '008894201', '008893120', '008892007', '008891009', '008891702']"
92,92,92,IC1905,IC,12,"['008885001', '008886348', '008886009', '008883436', '008883311', '008814308', '008814001', '008813003', '008812005', '008811213', '008811221', '008819406']"
93,93,93,IC1907,IC,12,"['008885001', '008886348', '008886009', '008883436', '008883311', '008814308', '008814001', '008813003', '008812005', '008811213', '008811221', '008819406']"
94,94,94,IC1912,IC,12,"['008885001', '008886348', '008886009', '008883436', '008883311', '008814308', '008814001', '008813003', '008812005', '008811213', '008811221', '008819406']"
95,95,95,IC1913,IC,12,"['008885001', '008886348', '008886009', '008883436', '008883311', '008814308', '008814001', '008813003', '008812005', '008811213', '008811221', '008819406']"
96,96,96,IC1914,IC,12,"['008885001', '008886348', '008886009', '008883436', '008883311', '008814308', '008814001', '008813003', '008812005', '008811213', '008811221', '008819406']"
97,97,97,IC1915,IC,12,"['008885001', '008886348', '008886009', '008883436', '008883311', '008814308', '008814001', '008813003', '008812005', '008811213', '008811221', '008819406']"
98,98,98,IC1919,IC,12,"['008885001', '008886348', '008886009', '008883436', '008883311', '008814308', '008814001', '008813003', '008812005', '008811213', '008811221', '008819406']"
99,99,99,IC1921,IC,12,"['008885001', '008886348', '008886009', '008883436', '008883311', '008814308', '008814001', '008813003', '008812005', '008811213', '008811221', '008819406']"
100,100,100,IC1928,IC,12,"['008819406', '008811221', '008811213', '008812005', '008813003', '008814001', '008814308', '008883311', '008883436', '008886009', '008886348', '008885001']"
101,101,101,IC1929,IC,12,"['008819406', '008811221', '008811213', '008812005', '008813003', '008814001', '008814308', '008883311', '008883436', '008886009', '008886348', '008885001']"
102,102,102,IC1933,IC,12,"['008819406', '008811221', '008811213', '008812005', '008813003', '008814001', '008814308', '008883311', '008883436', '008886009', '008886348', '008885001']"
